"MCL1","MYCN","GLI2","EGFR","CDK6","MET","FGFR1","MYC","CDKN2A.B","PTCH1","PTEN","CCND1","KRAS","CDK4","MDM2","RB1","TP53","NF1","ERBB2","CCNE1","Sample_Name"
0.039,-0.091,0.003,-0.023,-0.059,0.041,-0.004,0.051,0.114,0.068,-0.01,-0.019,-0.056,-0.029,0.136,0.02,0.017,-0.14,0.007,0.008,"TCGA-DU-6396"
0.205,0.021,0.029,0.174,0.234,0.302,0.002,0.29,0.162,0.116,-0.248,0.016,-0.116,0.69,0.013,0.009,-0.427,-0.216,-0.013,0.29,"TCGA-41-5651"
0.062,0.044,-0.026,-0.047,0.081,0.164,0.015,0.101,-0.093,0.037,0.132,-0.027,-0.03,-0.03,0.068,-0.008,0.024,-0.183,-0.025,-0.014,"TCGA-DU-5855"
0.012,0.112,0.013,1.246,0.123,0.139,0.025,-0.028,-0.822,0.148,-0.12,-0.061,-0.109,-0.076,0.024,0.041,-0.048,-0.147,-0.062,0.1,"TCGA-06-5413"
0.137,0.14,0.011,-0.003,0.129,0.254,0.028,0.101,-0.103,0.007,0.12,0.028,-0.018,0.038,0.079,-0.223,0.012,-0.205,0.05,0.052,"TCGA-DU-6399"
0.085,0.084,-0.007,-0.03,0.012,0.087,0.023,0.082,0.075,-0.003,0.071,0.027,-0.056,0.009,0.17,-0.41,-0.025,-0.241,-0.009,-0.183,"TCGA-DU-6400"
0.058,0.076,-0.002,0.004,0.032,0.013,0.172,0.079,0.109,-0.069,0.122,0.022,-0.04,-0.137,-0.116,0.098,-0.282,-0.179,0.093,0.114,"TCGA-DU-6401"
0.089,0.22,0.035,0.507,0.25,0.144,-0.004,0.12,-1.53,0.009,-0.157,-0.025,-0.103,-0.056,0.032,-0.123,0.058,-0.293,0.019,0.202,"TCGA-DU-6405"
0.098,0.034,0.046,0.379,0.335,0.454,0.108,0.149,-0.142,-0.062,-0.32,-0.017,-0.125,0.006,0.028,-0.402,0.064,-0.038,0.004,0.063,"TCGA-28-5219"
0.107,-0.004,0.021,0.26,0.2,0.343,-0.036,-0.054,-1.799,0.003,-0.378,-0.071,-0.246,0.978,0.078,-0.571,-0.004,-0.11,0.002,0.155,"TCGA-76-4935"
0.111,0.03,0.09,1.512,0.177,0.307,-0.003,-0.037,-1.724,-0.07,-0.316,-0.015,-0.164,0.044,0.156,0.087,0.022,-0.115,-0.001,0.241,"TCGA-26-5139"
0.058,-0.104,0.018,1.192,-0.142,0.079,0.057,-0.061,-2.197,-0.122,-0.535,-0.057,-0.177,0.075,0.014,0.003,0.077,-0.034,0.029,0.48,"TCGA-28-5208"
0.187,-0.074,-0.024,0.034,-0.042,1.713,-0.007,-0.17,-2.316,0.028,-0.323,-0.413,-0.239,-0.032,0.024,-0.124,-0.44,-0.191,-0.116,0.155,"TCGA-76-4934"
0.036,-0.004,0.069,0.161,0.115,0.204,0.007,-0.095,-0.342,-0.094,-0.465,0.024,-0.098,0.018,0.109,0.004,-0.001,-0.064,0.005,0.16,"TCGA-28-5213"
0.271,-0.038,0.051,1.413,0.095,0.31,0.004,-0.08,-1.801,-0.068,-0.523,-0.057,0.031,0.207,0.199,0.011,0.032,-0.013,0.004,0.346,"TCGA-32-5222"
0.104,-0.184,-0.123,0.026,-0.202,0.068,0.034,-0.062,0.14,-0.086,-0.088,-0.046,-0.087,0.043,0.053,-0.126,-0.032,0.104,0.029,0.068,"TCGA-06-5416"
0.062,0.094,0.042,1.451,0.146,0.328,0.01,-0.058,-2.916,-0.118,-0.391,-0.004,-0.177,0,0.028,-0.006,-0.021,-0.108,0.012,0.086,"TCGA-76-4931"
0.248,-0.094,-0.031,0.381,0.244,0.344,-0.097,-0.185,-0.152,-0.193,-0.347,0.005,0.017,1.074,0.331,0.076,-0.016,0.076,0.061,0.243,"TCGA-28-5207"
